Media,Detail,Unit,Concentration,Year,Month,Longitude_east,Latitude_north,Reference,Sample_Size_and scope,Methodology,Backup_information
soil,surface agricultural soil 0~0.1m,ng/g,4.33,2019,11,115.77,32.94,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 109 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2020. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=101). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.33,2019,11,117.29,34.13,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 110 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2021. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=102). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.33,2019,11,117.21,32.38,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 111 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2022. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=103). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.95,2019,10,116.65,40.16,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 112 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2023. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=104). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,4.95,2019,10,116.65,39.68,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 113 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2024. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=105). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.34,2019,11,107.79,29.29,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 114 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2025. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=106). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.01,2019,7,98.45,39.76,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 115 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2026. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=107). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.01,2019,7,102.68,37.94,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 116 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2027. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=108). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.01,2019,7,104.2,35.87,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 117 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2028. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=109). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.01,2019,7,104.52,35.4,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 118 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2029. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=110). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,1.01,2019,7,105.71,34.68,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 119 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2030. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=111). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.033,2019,11,110.18,25.24,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 120 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2031. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=112). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.033,2019,11,108.35,23.1,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 121 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2032. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=113). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.033,2019,11,110.1,22.62,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 122 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2033. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=114). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.0178,2019,12,110.34,19.76,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 123 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2034. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=115). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.0178,2019,12,108.83,19.37,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 124 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2035. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=116). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.0178,2019,12,108.99,18.49,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 125 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2036. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=117). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.0178,2019,12,109.55,18.33,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 126 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2037. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=118). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,114.81,36.67,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 127 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2038. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=119). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,115.05,37.54,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 128 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2039. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=120). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,115.37,37.46,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 129 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2040. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=121). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,115.13,38.49,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 130 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2041. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=122). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,115.53,55.08,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 131 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2042. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=123). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,116.01,38.57,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 132 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2043. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=124). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,117.69,39.84,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 133 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2044. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=125). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.99,2019,7,118.32,39.44,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 134 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2045. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=126). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,5.27,2019,11,125.03,48.41,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 135 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2046. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=127). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,5.27,2019,11,124.07,47.14,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 136 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2047. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=128). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,5.27,2019,11,127.5,46.03,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 137 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2048. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=129). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,5.27,2019,11,130.61,46.75,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 138 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2049. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=130). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,112.26,34.44,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 139 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2050. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=131). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,112.98,33.17,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 140 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2051. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=132). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,114.97,33.73,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 141 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2052. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=133). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,112.5,32.14,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 142 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2053. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=134). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,109.86,30.16,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 143 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2054. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=135). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,3.67,2019,11,112.98,29.84,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 144 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2055. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=136). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.059,2019,9,110.82,40.56,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 145 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2056. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=137). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
soil,surface agricultural soil 0~0.1m,ng/g,0.059,2019,9,113.14,41.03,Insights on common fungicides: A national survey on farmland soils from Mainland China,A total of 391 agricultural soil samples were collected from 146 county sampling sites,"At each site, the topsoil (0–10 cm) was collected during the crop maturity period of 2019–2057. Each composite sample was formed by thoroughly homogenizing five sub-samples from an individual farmland","The sites were categorized by the degree of plastic film coverage into greenhouses (n=129), farmlands with film mulching (n=161), and farmlands without film mulching (n=138). The study focused on soils used for three primary monocrops—cereals, vegetables, and fruits—as well as multicrops"
